year,where_coordinates,latitude,longitude,geom_wkt,country,region,best
2018,Handwara town,34.397557,74.283085,POINT (74.283085 34.397557),India,Asia,1
2018,Drabh Gam village,33.834274,74.83263000000001,POINT (74.832630 33.834274),India,Asia,1
2018,Dankoussa village,14.07169,-4.3327800000000005,POINT (-4.332780 14.071690),Mali,Africa,12
2018,Nawa district,32.326913,67.897543,POINT (67.897543 32.326913),Afghanistan,Asia,7
2018,Farah town,32.373795,62.1157,POINT (62.115700 32.373795),Afghanistan,Asia,4
2018,Alishing district,34.825480999999996,70.084213,POINT (70.084213 34.825481),Afghanistan,Asia,3
2018,Khamyab village,37.5275,65.75833,POINT (65.758330 37.527500),Afghanistan,Asia,8
2018,Bugomba village,-1.354547,29.373889000000002,POINT (29.373889 -1.354547),DR Congo (Zaire),Africa,6
2018,Lake Edward,-0.35,29.58333,POINT (29.583330 -0.350000),DR Congo (Zaire),Africa,0
2018,Uruapan town,19.413616,-102.05278100000001,POINT (-102.052781 19.413616),Mexico,Americas,5
2018,Boundéri village,11.34714,14.40957,POINT (14.409570 11.347140),Cameroon,Africa,6
2018,Kipupu village,-3.725836,28.81665,POINT (28.816650 -3.725836),DR Congo (Zaire),Africa,1
2018,Jana Cabdalle village,0.028636,42.289048,POINT (42.289048 0.028636),Somalia,Africa,20
2018,Jowhar town,2.766667,45.516667,POINT (45.516667 2.766667),Somalia,Africa,0
2018,Tangdhar Sector,34.399863,73.862448,POINT (73.862448 34.399863),India,Asia,4
2018,Ghoryan district,34.179688,61.158105000000006,POINT (61.158105 34.179688),Afghanistan,Asia,4
2018,Adraskan district,33.703790999999995,62.001952,POINT (62.001952 33.703791),Afghanistan,Asia,1
2018,Fayzabad district (Jawzjan),36.699898,66.33085600000001,POINT (66.330856 36.699898),Afghanistan,Asia,3
2018,Nad Ali district (Marja),31.625940999999997,63.861444999999996,POINT (63.861445 31.625941),Afghanistan,Asia,1
2018,Kot district,34.155777,70.598827,POINT (70.598827 34.155777),Afghanistan,Asia,4
2018,Rodat district,34.273015,70.56796800000001,POINT (70.567968 34.273015),Afghanistan,Asia,4
2018,Al Khawkhah town,13.807097,43.249303000000005,POINT (43.249303 13.807097),Yemen (North Yemen),Middle East,1
